,energy,finance,healthcare,technology,consumer_services,transportation
0,XOM,CSGP,JNJ,AAPL,AMZN,UPS
1,CVX,JPM,UNH,MSFT,WMT,UNP
2,COP,BAC,LLY,GOOG,HD,BKNG
3,EOG,WFC,PFE,GOOGL,DIS,FDX
4,PXD,MS,ABT,FB,CMCSA,CSX
5,MPC,C,ABBV,NVDA,NFLX,NSC
6,PSX,SCHW,MRK,ADBE,T,LUV
7,VLO,BLK,DHR,CRM,COST,ODFL
8,MPLX,AXP,MDT,INTC,MCD,DAL
9,OXY,GS,BMY,ORCL,CHTR,KSU
10,HES,ABNB,AMGN,AVGO,LOW,EXPE
11,HAL,USB,MMM,TXN,TGT,EXPD
12,DVN,PNC,ISRG,QCOM,PLD,JBHT
13,FANG,TFC,CVS,SE,CCI,XPO
14,CLR,MMC,SYK,INTU,TJX,UAL
15,TPL,COF,ANTM,IBM,EQIX,AAL
16,MMP,BX,MRNA,AMD,PSA,CHRW
17,MRO,PGR,ZTS,SQ,ROKU,NCLH
18,PSXP,AON,GILD,NOW,DG,KNX
19,WES,MET,CI,SNAP,TRI,ALK
20,PAA,COIN,BDX,SPGI,EBAY,LSTR
21,APA,TROW,HCA,MU,DLR,SAIA
22,XEC,BK,ILMN,LRCX,MAR,TNL
23,COG,AIG,EW,ATVI,CMG,JBLU
24,NOV,PRU,BSX,FISV,ROST,SNDR
25,EQT,ALL,REGN,SNOW,ORLY,KEX
26,SHLX,TRV,HUM,MCO,SPG,ALGT
27,CHK,AFL,IDXX,VMW,WELL,ULCC
28,HFC,DFS,BIIB,ADSK,LVS,GATX
29,NFG,KKR,VRTX,ADI,SBAC,WERN
